1756801594997832704,0.34143,3.44601,-0.38304,0.64588,-0.68599,0.24682,-0.22658,
1756801595077916160,0.31326,3.46637,-0.40604,0.63917,-0.68515,0.25143,-0.24250,
1756801595157829376,0.30371,3.51978,-0.41388,0.63501,-0.68174,0.25830,-0.25549,
1756801595237828864,0.32253,3.56716,-0.42174,0.62837,-0.68063,0.26926,-0.26342,
1756801595317836032,0.30287,3.57968,-0.42968,0.62732,-0.67264,0.27601,-0.27901,
1756801595397832448,0.43559,3.65346,-0.42067,0.62767,-0.66339,0.29346,-0.28253,
1756801595477859584,0.48403,3.72873,-0.43257,0.62383,-0.65774,0.30418,-0.29272,
1756801595557826048,0.51757,3.76861,-0.43711,0.61953,-0.65211,0.31398,-0.30390,
1756801595637941248,0.58237,3.82516,-0.43815,0.61714,-0.64493,0.32428,-0.31313,
1756801595717858560,0.63603,3.88842,-0.44805,0.61251,-0.64104,0.33408,-0.31983,
1756801595797830912,0.64526,3.91563,-0.45828,0.60978,-0.63385,0.34070,-0.33214,
1756801595877827328,0.74249,3.99314,-0.46257,0.60208,-0.63215,0.35347,-0.33607,
1756801595957830656,0.72534,4.02555,-0.47559,0.59546,-0.62755,0.35835,-0.35099,
1756801596037914880,0.79363,4.07815,-0.48012,0.58723,-0.62382,0.37103,-0.35825,
1756801596117824256,0.83833,4.10420,-0.47639,0.58312,-0.61524,0.37871,-0.37151,
1756801596197827584,0.88583,4.14749,-0.48260,0.57645,-0.61065,0.38889,-0.37892,
1756801596277832960,0.91977,4.17009,-0.48475,0.57221,-0.60054,0.39882,-0.39099,
1756801596357830144,0.96243,4.22604,-0.49331,0.56340,-0.59407,0.41041,-0.40152,
1756801596437824512,1.10920,4.23156,-0.48238,0.56069,-0.57931,0.42226,-0.41440,
1756801596517873920,1.16836,4.27220,-0.48406,0.55137,-0.57025,0.43424,-0.42689,
1756801596598051072,1.21639,4.27825,-0.49050,0.54333,-0.56012,0.44523,-0.43912,
1756801596677825536,1.27959,4.33450,-0.50542,0.53640,-0.55083,0.45620,-0.44804,
1756801596757823744,1.26873,4.34395,-0.51027,0.52883,-0.54071,0.46349,-0.46168,
1756801596837831168,1.39033,4.38683,-0.51423,0.51852,-0.53231,0.47854,-0.46775,
1756801596917966336,1.41522,4.40102,-0.51587,0.51073,-0.52054,0.48468,-0.48299,
1756801596997826816,1.53606,4.36910,-0.50532,0.50032,-0.51334,0.49865,-0.48735,
1756801597077831168,1.60143,4.38593,-0.50888,0.49307,-0.50412,0.50560,-0.49710,
1756801597157879296,1.75439,4.35075,-0.49615,0.48675,-0.49744,0.51670,-0.49865,
1756801597237823744,1.78855,4.35044,-0.49255,0.48586,-0.48745,0.51587,-0.51011,
1756801597317822976,1.85648,4.34811,-0.49360,0.47772,-0.48614,0.52366,-0.51111,
1756801597397859328,1.89270,4.35461,-0.51132,0.47387,-0.48253,0.52575,-0.51595,
1756801597477826560,1.96654,4.35819,-0.51834,0.47100,-0.48042,0.52882,-0.51741,
1756801597557827072,2.01490,4.33386,-0.51599,0.47180,-0.47495,0.52808,-0.52246,
1756801597637821440,2.09333,4.32263,-0.51798,0.46931,-0.47467,0.53218,-0.52080,
1756801597717822720,2.16406,4.31832,-0.52042,0.46701,-0.47356,0.53558,-0.52038,
1756801597797821952,2.21785,4.31465,-0.51736,0.46664,-0.47170,0.53517,-0.52282,
1756801597877826304,2.27242,4.29276,-0.52686,0.46776,-0.46879,0.53445,-0.52517,
1756801597957820672,2.30343,4.26307,-0.50436,0.46564,-0.46901,0.53429,-0.52702,
1756801598037840896,2.38226,4.25909,-0.49559,0.46477,-0.46932,0.53499,-0.52680,
1756801598117823232,2.44551,4.25042,-0.49392,0.46442,-0.47000,0.53631,-0.52516,
1756801598197822464,2.49998,4.23597,-0.48973,0.46931,-0.46660,0.53202,-0.52820,
1756801598277825792,2.55175,4.22913,-0.48621,0.46915,-0.46823,0.53288,-0.52603,
1756801598357823232,2.62270,4.22222,-0.48565,0.46997,-0.46895,0.53293,-0.52459,
1756801598437822464,2.66028,4.21573,-0.48422,0.47026,-0.46920,0.53178,-0.52528,
1756801598517828864,2.76128,4.20555,-0.48332,0.46858,-0.47154,0.53411,-0.52232,
1756801598597823232,2.81036,4.20259,-0.48437,0.47122,-0.46964,0.52988,-0.52595,
1756801598677836544,2.87232,4.20477,-0.49081,0.47001,-0.47186,0.53074,-0.52418,
1756801598757823744,2.93350,4.19811,-0.49012,0.46879,-0.47402,0.53190,-0.52213,
1756801598837819136,2.98711,4.18843,-0.48871,-0.47482,0.46909,-0.52553,0.52756,
1756801598917834496,3.06099,4.19256,-0.48459,-0.47521,0.46980,-0.52465,0.52744,
1756801598997824768,3.12829,4.18379,-0.48387,0.47285,-0.47223,0.52748,-0.52457,
1756801599077826048,3.19020,4.17897,-0.48476,-0.47570,0.46959,-0.52408,0.52777,
1756801599157823488,3.24547,4.17296,-0.48173,0.47333,-0.47235,0.52624,-0.52528,
1756801599237835776,3.30731,4.16721,-0.47974,-0.47350,0.47220,-0.52521,0.52629,
1756801599317824000,3.38542,4.16099,-0.48353,-0.47289,0.47330,-0.52525,0.52581,
1756801599397823232,3.44666,4.16008,-0.47684,-0.47322,0.47385,-0.52378,0.52649,
1756801599477822720,3.54572,4.15544,-0.47788,0.47157,-0.47601,0.52604,-0.52376,
1756801599557828096,3.59603,4.14796,-0.48192,-0.47480,0.47342,-0.52231,0.52690,
1756801599637821184,3.65493,4.14093,-0.48005,-0.47533,0.47347,-0.52250,0.52619,
1756801599717822720,3.72880,4.13812,-0.47112,-0.47491,0.47411,-0.52318,0.52532,
1756801599797819904,3.79332,4.13053,-0.46731,-0.47510,0.47407,-0.52327,0.52510,
1756801599877820160,3.85535,4.11793,-0.46564,-0.47616,0.47451,-0.52203,0.52497,
1756801599957821696,3.93000,4.11143,-0.46747,0.47500,-0.47803,0.52367,-0.52118,
1756801600037839872,3.98683,4.11404,-0.46535,-0.48062,0.47528,-0.51838,0.52383,
1756801600117877248,4.04130,4.11177,-0.45971,-0.48479,0.47630,-0.51428,0.52310,
1756801600197860608,4.10803,4.10615,-0.45967,0.48387,-0.48119,0.51737,-0.51638,
1756801600277825792,4.17367,4.09523,-0.46175,0.48583,-0.48313,0.51625,-0.51384,
1756801600357824256,4.23982,4.09233,-0.46134,0.48680,-0.48477,0.51531,-0.51233,
1756801600437825536,4.30965,4.09137,-0.46014,-0.48959,0.48451,-0.51235,0.51288,
1756801600517844736,4.36534,4.08159,-0.46112,0.48713,-0.48956,0.51471,-0.50805,
1756801600597837056,4.42424,4.07880,-0.45779,-0.49377,0.48496,-0.50804,0.51273,
